name,x,y,width,height
exh7,4038.7858393700794,2755.340745826772,491.28086929133826,188.51475023622046
exh9,4701.443792125984,1935.5871949606299,294.1972875590547,294.19725732283473
exh6,3653.1874771653543,1569.9828321259843,382.7420976377955,365.6043552755906
exh4,2939.116414488189,566.1004157480311,580.691981102362,181.27251023622046
exh0,1028.2622740157478,513.1577234645665,425.5863307086614,182.80217574803143
exh12,5742.559332283466,1584.2642003149606,194.2273511811015,382.7420976377953
exh5,3239.0263181102364,2765.3376529133857,424.1581984251973,174.23333291338582
exh10,4970.149530708662,551.7167130708663,198.9489070866141,200.37714519685025
exh11,5172.099590551181,554.0701606299208,803.2798866141735,770.3208566929136
exh8,4100.996636220472,512.0047710236222,247.91800062992124,142.38875338582665
wall_west,1.921360629920977,1342.1202897637795,496.845694488189,1684.4280944881891
wall_north,0.0,3002.31197480315,5008.850645669291,492.80632440944885
wall_east,5982.305612598426,508.0047496062989,498.8653984251975,2985.113499212599
wall_south,0.00022677165340044626,0.0,6479.190425196852,508.0047496062992
entrance,2.0196283464566642,507.98502047244074,498.86539842519664,834.1352692913389
exit,5008.850494488189,3004.331754330709,971.474683464568,488.76691653543315
exh1,1251.0524598425197,2086.970169448819,337.04154330708656,334.18524472440953
exh2,2122.2192755905517,1381.4680743307085,374.17319811023634,374.17319811023634
exh3,2143.64125984252,2718.2090267716535,428.4426330708663,228.50273385826782
